"FREGUESIA.x","CONCELHO","id_c","query"
"AMADORA","OEIRAS","1110","You are matching parish names (freguesias) within the municipality (concelho) of 'OEIRAS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- BARCARENA
- PORTO SALVO
- CARNAXIDE
- QUEIJAS
- LINDA-A-VELHA
- CRUZ QUEBRADA-DAFUNDO
- ALGES
- PACO DE ARCOS
- OEIRAS E S. JULIAO DA BARRA

Does the name 'AMADORA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ARCO","S. TIRSO","1314","You are matching parish names (freguesias) within the municipality (concelho) of 'S. TIRSO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AVES
- VILARINHO
- SEQUEIRO
- LAMA
- AREIAS
- S. MARTINHO DO CAMPO
- PALMEIRA
- RORIZ
- S. SALVADOR DO CAMPO
- REBORDOES
- NEGRELOS (S. TOME)
- BURGAES
- S. TIRSO
- NEGRELOS (S. MAMEDE)
- COUTO (SANTA CRISTINA)
- MONTE CORDOVA
- COUTO (S. MIGUEL)
- GUIMAREI
- CARREIRA
- REFOJOS DE RIBA DE AVE
- AGUA LONGA
- LAMELAS
- REGUENGA
- AGRELA

Does the name 'ARCO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"AREITOS","FAFE","0307","You are matching parish names (freguesias) within the municipality (concelho) of 'FAFE' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- ABOIM
- GONTIM
- MONTE
- AGRELA
- SERAFAO
- VARZEA COVA
- FELGUEIRAS
- QUEIMADELA
- VILA COVA
- FREITAS
- TRAVASSOS
- PEDRAIDO
- MOREIRA DO REI
- ESTORAOS
- REVELHE
- RIBEIROS
- VINHOS
- PASSOS
- FORNELOS
- MEDELO
- AROES (S. ROMAO)
- GOLAES
- S. GENS
- FAFE
- QUINCHAES
- AROES (SANTA CRISTINA)
- ANTIME
- CEPAES
- ARMIL
- SILVARES (S. CLEMENTE)
- FAREJA
- SEIDOES
- SILVARES (S. MARTINHO)
- ARDEGAO
- REGADAS
- ARNOZELA

Does the name 'AREITOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ASSENTIZ","TORRES VEDRAS","1113","You are matching parish names (freguesias) within the municipality (concelho) of 'TORRES VEDRAS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CAMPELOS
- OUTEIRO DA CABECA
- MACEIRA
- RAMALHAL
- A DOS CUNHADOS
- MAXIAL
- SILVEIRA
- MONTE REDONDO
- TORRES VEDRAS (S. PEDRO E S. TIAGO)
- PONTE DO ROL
- TORRES VEDRAS (SANTA MARIA DO CASTELO E S. MIGUEL)
- MATACAES
- S. PEDRO DA CADEIRA
- CARVOEIRA
- VENTOSA
- RUNA
- CARMOES
- DOIS PORTOS
- TURCIFAL
- FREIRIA

Does the name 'ASSENTIZ' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"BAIRRO PONTAL","PORTIMAO","0811","You are matching parish names (freguesias) within the municipality (concelho) of 'PORTIMAO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- MEXILHOEIRA GRANDE
- PORTIMAO
- ALVOR

Does the name 'BAIRRO PONTAL' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"BEBERRIQUEIRA","TOMAR","1418","You are matching parish names (freguesias) within the municipality (concelho) of 'TOMAR' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- SABACHEIRA
- ALVIOBEIRA
- ALEM DA RIBEIRA
- CASAIS
- OLALHAS
- PEDREIRA
- BESELGA
- CARREGUEIROS
- TOMAR (SANTA MARIA DOS OLIVAIS)
- JUNCEIRA
- SERRA
- TOMAR (S. JOAO BAPTISTA)
- MADALENA
- S. PEDRO DE TOMAR
- PAIALVO
- ASSEICEIRA

Does the name 'BEBERRIQUEIRA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CALDAS DE VIZELA","GUIMARAES","0308","You are matching parish names (freguesias) within the municipality (concelho) of 'GUIMARAES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CASTELOES
- AROSA
- GONCA
- DONIM
- BRITEIROS (SALVADOR)
- GONDOMAR
- BRITEIROS (SANTA LEOCADIA)
- LONGOS
- SOUTO (SANTA MARIA)
- BRITEIROS (S. ESTEVAO)
- SANDE (S. LOURENCO)
- BALAZAR
- SOUTO (S. SALVADOR)
- BARCO
- SANDE (S. MARTINHO)
- CALDELAS
- RENDUFE
- S. TORCATO
- SANDE (S. CLEMENTE)
- PRAZINS (SANTA EUFEMIA)
- GOMINHAES
- PRAZINS (S. TIRSO)
- LEITOES
- ATAES
- PONTE
- SELHO (S. LOURENCO)
- SANDE (VILA NOVA)
- FIGUEIREDO
- PENCELO
- OLEIROS
- AIRAO (S. JOAO BAPTISTA)
- ALDAO
- BRITO
- FERMENTOES
- AZUREM
- VERMIL
- MESAO FRIO
- AIRAO (SANTA MARIA)
- SILVARES
- GUIMARAES (OLIVEIRA DO CASTELO)
- COSTA
- RONFE
- GUIMARAES (S. PAIO)
- CREIXOMIL
- SELHO (S. JORGE)
- GUIMARAES (S. SEBASTIAO)
- INFANTAS
- CANDOSO (SANTIAGO)
- URGEZES
- CANDOSO (S. MARTINHO)
- MASCOTELOS
- GONDAR
- ABACAO (S. TOME)
- SELHO (S. CRISTOVAO)
- PINHEIRO
- POLVOREIRA
- NESPEREIRA
- SERZEDELO
- CALVOS
- GEMEOS
- SERZEDO
- TABUADELO
- GANDARELA
- GUARDIZELA
- CONDE
- VIZELA (S. FAUSTINO)
- MOREIRA DE CONEGOS
- LORDELO

Does the name 'CALDAS DE VIZELA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CALDAS DE VIZELA (S. JOAO)","GUIMARAES","0308","You are matching parish names (freguesias) within the municipality (concelho) of 'GUIMARAES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CASTELOES
- AROSA
- GONCA
- DONIM
- BRITEIROS (SALVADOR)
- GONDOMAR
- BRITEIROS (SANTA LEOCADIA)
- LONGOS
- SOUTO (SANTA MARIA)
- BRITEIROS (S. ESTEVAO)
- SANDE (S. LOURENCO)
- BALAZAR
- SOUTO (S. SALVADOR)
- BARCO
- SANDE (S. MARTINHO)
- CALDELAS
- RENDUFE
- S. TORCATO
- SANDE (S. CLEMENTE)
- PRAZINS (SANTA EUFEMIA)
- GOMINHAES
- PRAZINS (S. TIRSO)
- LEITOES
- ATAES
- PONTE
- SELHO (S. LOURENCO)
- SANDE (VILA NOVA)
- FIGUEIREDO
- PENCELO
- OLEIROS
- AIRAO (S. JOAO BAPTISTA)
- ALDAO
- BRITO
- FERMENTOES
- AZUREM
- VERMIL
- MESAO FRIO
- AIRAO (SANTA MARIA)
- SILVARES
- GUIMARAES (OLIVEIRA DO CASTELO)
- COSTA
- RONFE
- GUIMARAES (S. PAIO)
- CREIXOMIL
- SELHO (S. JORGE)
- GUIMARAES (S. SEBASTIAO)
- INFANTAS
- CANDOSO (SANTIAGO)
- URGEZES
- CANDOSO (S. MARTINHO)
- MASCOTELOS
- GONDAR
- ABACAO (S. TOME)
- SELHO (S. CRISTOVAO)
- PINHEIRO
- POLVOREIRA
- NESPEREIRA
- SERZEDELO
- CALVOS
- GEMEOS
- SERZEDO
- TABUADELO
- GANDARELA
- GUARDIZELA
- CONDE
- VIZELA (S. FAUSTINO)
- MOREIRA DE CONEGOS
- LORDELO

Does the name 'CALDAS DE VIZELA (S. JOAO)' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CALDAS DE VIZELA-S. MIGUEL","GUIMARAES","0308","You are matching parish names (freguesias) within the municipality (concelho) of 'GUIMARAES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CASTELOES
- AROSA
- GONCA
- DONIM
- BRITEIROS (SALVADOR)
- GONDOMAR
- BRITEIROS (SANTA LEOCADIA)
- LONGOS
- SOUTO (SANTA MARIA)
- BRITEIROS (S. ESTEVAO)
- SANDE (S. LOURENCO)
- BALAZAR
- SOUTO (S. SALVADOR)
- BARCO
- SANDE (S. MARTINHO)
- CALDELAS
- RENDUFE
- S. TORCATO
- SANDE (S. CLEMENTE)
- PRAZINS (SANTA EUFEMIA)
- GOMINHAES
- PRAZINS (S. TIRSO)
- LEITOES
- ATAES
- PONTE
- SELHO (S. LOURENCO)
- SANDE (VILA NOVA)
- FIGUEIREDO
- PENCELO
- OLEIROS
- AIRAO (S. JOAO BAPTISTA)
- ALDAO
- BRITO
- FERMENTOES
- AZUREM
- VERMIL
- MESAO FRIO
- AIRAO (SANTA MARIA)
- SILVARES
- GUIMARAES (OLIVEIRA DO CASTELO)
- COSTA
- RONFE
- GUIMARAES (S. PAIO)
- CREIXOMIL
- SELHO (S. JORGE)
- GUIMARAES (S. SEBASTIAO)
- INFANTAS
- CANDOSO (SANTIAGO)
- URGEZES
- CANDOSO (S. MARTINHO)
- MASCOTELOS
- GONDAR
- ABACAO (S. TOME)
- SELHO (S. CRISTOVAO)
- PINHEIRO
- POLVOREIRA
- NESPEREIRA
- SERZEDELO
- CALVOS
- GEMEOS
- SERZEDO
- TABUADELO
- GANDARELA
- GUARDIZELA
- CONDE
- VIZELA (S. FAUSTINO)
- MOREIRA DE CONEGOS
- LORDELO

Does the name 'CALDAS DE VIZELA-S. MIGUEL' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CAMBEZES","MONTALEGRE","1706","You are matching parish names (freguesias) within the municipality (concelho) of 'MONTALEGRE' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- TOUREM
- S. ANDRE
- GRALHAS
- PADORNELOS
- PADROSO
- VILAR DE PERDIZES (S. MIGUEL)
- DONOES
- MOURILHE
- PITOES DAS JUNIAS
- SOLVEIRA
- MONTALEGRE
- SEZELHE
- COVELAES
- MEIXEDO
- OUTEIRO
- CAMBESES DO RIO
- MEIXIDE
- CABRIL
- SARRAQUINHOS
- CHA
- CONTIM
- CERVOS
- VIADE DE BAIXO
- FIAES DO RIO
- PARADELA
- MORGADE
- FERVIDELAS
- COVELO DO GERES
- NEGROES
- VILA DA PONTE
- REIGOSO
- FERRAL
- PONDRAS
- VENDA NOVA
- SALTO

Does the name 'CAMBEZES' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CAPAREIROS","VIANA DO CASTELO","1609","You are matching parish names (freguesias) within the municipality (concelho) of 'VIANA DO CASTELO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- MONTARIA
- FREIXIEIRO DE SOUTELO
- AMONDE
- AFIFE
- OUTEIRO
- VILAR DE MURTEDA
- LANHESES
- MEIXEDO
- NOGUEIRA
- CARRECO
- PERRE
- VILA MOU
- TORRE
- PORTUZELO
- AREOSA
- MOREIRA DE GERAZ DO LIMA
- MEADELA
- CARDIELOS
- SERRELEIS
- VIANA DO CASTELO (SANTA MARIA MAIOR)
- GERAZ DO LIMA (SANTA LEOCADIA)
- GERAZ DO LIMA (SANTA MARIA)
- DEAO
- DEOCRISTE
- SUBPORTELA
- VIANA DO CASTELO (MONSERRATE)
- VILA FRANCA
- MAZAREFES
- DARQUE
- CARVOEIRO
- PORTELA SUSA
- VILA NOVA DE ANHA
- VILA FRIA
- MUJAES
- VILA DE PUNHE
- BARROSELAS
- CHAFE
- ALVARAES
- NEIVA
- CASTELO DO NEIVA

Does the name 'CAPAREIROS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CARRASCAL DOS NOVOS","SOURE","0615","You are matching parish names (freguesias) within the municipality (concelho) of 'SOURE' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- ALFARELOS
- GRANJA DO ULMEIRO
- FIGUEIRO DO CAMPO
- VILA NOVA DE ANCOS
- BRUNHOS
- SAMUEL
- SOURE
- GESTEIRA
- VINHA DA RAINHA
- TAPEUS
- POMBALINHO
- DEGRACIAS

Does the name 'CARRASCAL DOS NOVOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CARRAZEDE","VALPACOS","1712","You are matching parish names (freguesias) within the municipality (concelho) of 'VALPACOS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- BOUCOAES
- LEBUCAO
- NOZELOS
- FIAES
- TINHELA
- SONIM
- ALVARELHOS
- SANTA VALHA
- FRIOES
- BARREIROS
- ERVOES
- VILARANDELO
- FORNOS DO PINHAL
- VALPACOS
- SERAPICOS
- SANTIAGO DE RIBEIRA DE ALHARIZ
- VASSAL
- POSSACOS
- S. JOAO DA CORVEIRA
- SANFINS
- ALGERIZ
- CARRAZEDO DE MONTENEGRO
- PADRELA E TAZEM
- RIO TORTO
- AGUA REVES E CRASTO
- SANTA MARIA DE EMERES
- CURROS
- VEIGA DE LILA
- CANAVESES
- S. PEDRO DE VEIGA DE LILA
- VALES

Does the name 'CARRAZEDE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"CEISSA","OUREM","1421","You are matching parish names (freguesias) within the municipality (concelho) of 'OUREM' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- FREIXIANDA
- RIBEIRA DO FARRIO
- CASAL DOS BERNADOS
- ESPITE
- URQUEIRA
- MATAS
- RIO DE COUROS
- CAXARIAS
- FORMIGAIS
- OLIVAL
- CERCAL
- GONDEMARIA
- SEICA
- OUREM (NOSSA SENHORA DA PIEDADE)
- ATOUGUIA
- OUREM (NOSSA SENHORA DAS MISERICORDIAS)
- ALBURITEL
- FATIMA

Does the name 'CEISSA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"COLMIEIRAS","TONDELA","1821","You are matching parish names (freguesias) within the municipality (concelho) of 'TONDELA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- SILVARES
- CAPARROSA
- S. MIGUEL DO OUTEIRO
- S. JOAO DO MONTE
- GUARDAO
- MOSTEIRO DE FRAGUAS
- VILAR DE BESTEIROS
- SANTIAGO DE BESTEIROS
- PARADA DE GONTA
- SABUGOSA
- CAMPO DE BESTEIROS
- CANAS DE SANTA MARIA
- CASTELOES
- MOSTEIRINHO
- NANDUFE
- MOLELOS
- LAJEOSA
- LOBAO DA BEIRA
- BARREIRO DE BESTEIROS
- TONDELA
- TOURIGO
- TONDA
- DARDAVAZ
- MOURAZ
- FERREIROS DO DAO
- VILA NOVA DA RAINHA

Does the name 'COLMIEIRAS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"COS","ALCOBACA","1001","You are matching parish names (freguesias) within the municipality (concelho) of 'ALCOBACA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- PATAIAS
- MOITA
- MARTINGANCA
- ALPEDRIZ
- MONTES
- COZ
- MAIORGA
- ALJUBARROTA (PRAZERES)
- ALJUBARROTA (S. VICENTE)
- BARRIO
- VESTIARIA
- CELA
- ALCOBACA
- S. MARTINHO DO PORTO
- EVORA DE ALCOBACA
- ALFEIZERAO
- VIMEIRO
- TURQUEL
- BENEDITA

Does the name 'COS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"COUTO DE CUCUJAES","OLIVEIRA DE AZEMEIS","0113","You are matching parish names (freguesias) within the municipality (concelho) of 'OLIVEIRA DE AZEMEIS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- FAJOES
- CESAR
- MACIEIRA DE SARNES
- CARREGOSA
- NOGUEIRA DO CRAVO
- S. ROQUE
- VILA DE CUCUJAES
- PINDELO
- SANTIAGO DE RIBA-UL
- OSSELA
- OLIVEIRA DE AZEMEIS
- S. MARTINHO DA GANDARA
- MADAIL
- LOUREIRO
- UL
- MACINHATA DE SEIXA
- TRAVANCA
- PALMAZ
- PINHEIRO DA BEMPOSTA

Does the name 'COUTO DE CUCUJAES' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
